"CRASH_YEAR","CRASH_MONTH","DAY_OF_WEEK","TIME_OF_DAY"
2004,1,2,1059
2004,1,6,909
2004,1,2,1410
2004,1,1,2011
2004,1,2,1700
2004,1,2,1659
2004,1,2,1530
2004,1,7,1928
2004,1,2,1457
2004,1,2,1743
2004,1,2,1307
2004,1,3,1625
2004,1,1,2205
2004,1,2,1912
2004,1,3,850
2004,1,3,938
2004,1,7,1013
2004,1,2,2129
2004,1,3,1720
2004,1,2,1953
2004,1,3,1443
2004,1,2,1231
2004,1,2,1201
2004,1,3,2051
2004,1,3,1758
2004,1,1,229
2004,1,3,1545
2004,1,2,1556
2004,1,4,1914
2004,1,2,841
2004,1,5,1232
2004,1,5,1442
2004,1,5,1657
2004,1,5,1844
2004,1,5,1618
2004,1,1,835
2004,1,5,1315
2004,1,6,1205
2004,1,6,1912
2004,1,6,1239
2004,1,6,1250
2004,1,5,832
2004,1,5,622
2004,1,7,1408
2004,1,7,1428
2004,1,2,1329
2004,1,7,2030
2004,2,1,1804
2004,2,2,1143
2004,1,6,1427
2004,1,6,1519
2004,2,2,1631
2004,2,2,1609
2004,1,1,345
2004,2,2,1758
2004,2,2,2014
2004,1,5,2215
2004,2,2,1850
2004,2,3,733
2004,2,3,740
2004,2,2,1209
2004,2,3,817
2004,2,3,921
2004,2,3,1530
2004,1,7,2159
2004,2,3,1618
2004,2,2,1647
2004,2,3,706
2004,2,4,100
2004,1,4,1229
2004,2,3,606
2004,2,4,1125
2004,1,7,1958
2004,1,6,1721
2004,1,5,1645
2004,1,2,1715
2004,2,3,2055
2004,2,4,18
2004,1,6,2155
2004,1,6,1510
2004,2,4,1430
2004,1,4,1750
2004,2,3,2152
2004,1,5,1614
2004,2,3,1821
2004,2,5,1957
2004,2,5,1846
2004,2,2,845
2004,2,5,1840
2004,1,5,1945
2004,2,6,1932
2004,2,6,450
2004,2,7,100
2004,2,7,630
2004,2,7,1338
2004,2,4,2052
2004,2,3,620
2004,2,7,447
2004,2,7,521
2004,2,7,903
2004,2,2,1653
2004,2,2,1512
2004,2,1,702
2004,2,7,1657
2004,2,3,904
2004,2,3,1216
2004,2,7,724
2004,2,1,1240
2004,2,3,1630
2004,2,3,1750
2004,2,2,914
2004,2,2,807
2004,2,6,839
2004,2,4,919
2004,2,4,755
2004,2,2,736
2004,2,4,1612
2004,2,3,1028
2004,2,3,1804
2004,2,5,44
2004,2,4,1515
2004,2,5,845
2004,2,4,1816
2004,2,6,1544
2004,2,4,1815
2004,2,2,310
2004,2,7,226
2004,2,6,734
2004,1,3,740
2004,2,6,1017
2004,1,5,1542
2004,2,6,1141
2004,2,6,1301
2004,1,2,2256
2004,2,5,1818
2004,2,3,631
2004,2,4,1512
2004,2,7,620
2004,2,6,1236
2004,2,7,619
2004,2,7,1503
2004,2,7,1658
2004,2,7,2343
2004,1,6,1328
2004,2,1,911
2004,2,1,313
2004,2,7,145
2004,2,2,803
2004,1,3,1632
2004,1,6,2054
2004,2,2,1040
2004,2,2,1447
2004,2,2,1712
2004,1,5,1915
2004,1,5,1720
2004,1,7,539
2004,2,1,327
2004,2,2,1724
2004,1,5,1030
2004,2,1,2037
2004,2,3,1820
2004,2,5,230
2004,2,2,1643
2004,1,5,1542
2004,2,2,2053
2004,1,3,1435
2004,2,4,1518
2004,2,5,1157
2004,2,5,1848
2004,2,3,2200
2004,2,5,655
2004,2,5,1250
2004,2,6,1011
2004,2,7,945
2004,2,1,155
2004,2,6,1352
2004,2,7,853
2004,2,7,1040
2004,2,7,1222
2004,1,5,1741
2004,2,3,1609
2004,2,1,1528
2004,2,7,3
2004,2,2,843
2004,2,2,1156
2004,2,6,1521
2004,2,7,2245
2004,2,7,1606
2004,2,7,2359
2004,2,1,1210
2004,2,3,850
2004,2,3,722
2004,2,2,1255
2004,2,4,655
2004,2,4,736
2004,2,4,1855
2004,2,3,652
2004,2,3,646
2004,2,4,1017
2004,2,5,750
2004,2,3,736
2004,2,3,1200
2004,2,2,2108
2004,2,5,1749
2004,2,6,1250
2004,2,5,2113
2004,2,4,1945
2004,2,6,1738
2004,2,4,1025
2004,2,6,1657
2004,2,6,1851
2004,2,7,312
2004,2,7,1523
2004,2,7,1340
2004,2,5,2211
2004,2,5,2211
2004,2,1,1343
2004,2,1,1751
2004,2,1,1415
2004,2,1,320
2004,3,2,950
2004,2,6,1050
2004,3,2,1800
2004,3,2,1535
2004,3,2,2255
2004,2,1,1735
2004,2,6,2005
2004,3,3,1953
2004,3,3,843
2004,3,3,1150
2004,2,1,1422
2004,3,3,1921
2004,3,3,107
2004,3,5,741
2004,3,2,1212
2004,3,5,1737
2004,2,5,1426
2004,3,6,814
2004,3,5,1809
2004,3,6,1920
2004,3,3,424
2004,3,6,2303
2004,3,5,1403
2004,3,7,1018
2004,3,7,1900
2004,2,1,1335
2004,3,4,1505
2004,3,1,1758
2004,3,5,655
2004,3,2,1745
2004,3,3,2121
2004,3,7,2000
2004,3,3,1718
2004,3,3,1804
2004,3,4,1630
2004,3,1,1451
2004,3,5,1835
2004,3,3,141
2004,3,3,602
2004,3,3,1405
2004,3,4,1133
2004,3,4,1328
2004,3,3,2213
2004,3,3,1441
2004,3,2,1606
2004,3,3,2023
2004,3,3,2245
2004,3,4,150
2004,3,1,1350
2004,3,5,657
2004,3,5,1455
2004,3,5,1812
2004,3,5,1711
2004,3,6,15
2004,3,5,239
2004,3,3,1902
2004,3,6,953
2004,3,6,1311
2004,3,4,1816
2004,3,7,1637
2004,3,2,1707
2004,3,6,840
2004,3,2,1607
2004,3,2,1315
2004,3,3,729
2004,3,3,935
2004,3,2,1344
2004,3,3,1312
2004,3,3,1320
2004,3,3,1718
2004,3,1,2145
2004,3,3,1712
2004,3,3,2151
2004,3,2,944
2004,3,3,901
2004,3,4,727
2004,3,3,1420
2004,3,5,115
2004,3,5,650
2004,3,5,947
2004,3,2,1833
2004,3,5,1410
2004,3,2,2240
2004,3,5,1610
2004,3,4,2024
2004,3,5,2315
2004,3,6,827
2004,3,6,807
2004,3,5,807
2004,3,2,1625
2004,3,6,1635
2004,3,2,1923
2004,3,6,1745
2004,3,3,709
2004,3,7,1131
2004,3,5,820
2004,3,6,2255
2004,3,6,449
2004,3,7,211
2004,3,1,711
2004,3,1,1015
2004,3,1,1340
2004,3,3,1253
2004,3,3,1025
2004,3,1,1827
2004,3,1,1953
2004,3,3,1503
2004,3,3,747
2004,3,1,419
2004,3,7,100
2004,3,3,1302
2004,3,6,1437
2004,3,5,1849
2004,3,7,1328
2004,3,3,1115
2004,3,2,1733
2004,3,4,2042
2004,3,5,1940
2004,3,3,712
2004,3,5,940
2004,3,5,1320
2004,3,5,1537
2004,3,5,1710
2004,3,7,2055
2004,3,2,2251
2004,3,5,1450
2004,3,4,1215
2004,3,4,918
2004,3,4,1213
2004,3,1,1250
2004,3,5,850
2004,3,4,212
2004,3,6,1723
2004,3,7,35
2004,3,1,1940
2004,3,7,1716
2004,3,1,1333
2004,3,6,2022
2004,3,5,1124
2004,3,2,1140
2004,3,5,1841
2004,3,7,214
2004,3,2,1554
2004,3,1,2200
2004,3,1,1904
2004,3,4,1235
2004,3,2,2344
2004,3,2,603
2004,3,2,1456
2004,3,3,1630
2004,3,2,2250
2004,3,1,549
2004,3,2,1647
2004,3,2,1740
2004,3,1,1604
2004,3,4,704
2004,3,6,1429
2004,3,5,1443
2004,3,4,1649
2004,3,4,1539
2004,3,6,722
2004,3,3,1302
2004,4,5,1405
2004,3,6,1729
2004,4,6,926
2004,4,6,1036
2004,4,5,2059
2004,3,4,2122
2004,4,7,1020
2004,3,4,1620
2004,4,5,542
2004,4,6,740
2004,4,6,1530
2004,4,7,1312
2004,4,2,1225
2004,4,2,1659
2004,4,2,1110
2004,4,3,725
2004,4,1,2140
2004,4,3,1820
2004,4,3,1547
2004,4,3,1858
2004,4,4,1346
2004,4,6,1707
2004,4,6,1645
2004,4,4,1608
2004,4,5,807
2004,4,4,1711
2004,4,3,935
2004,4,4,1055
2004,4,5,935
2004,4,5,1257
2004,4,6,1450
2004,4,6,1530
2004,4,6,1540
2004,4,7,1720
2004,4,7,1219
2004,4,1,1326
2004,4,2,1509
2004,4,3,1725
2004,4,3,2025
2004,4,7,718
2004,4,1,1305
2004,4,2,1006
2004,4,2,1127
2004,4,7,1425
2004,4,2,925
2004,4,2,1130
2004,4,2,1516
2004,4,2,1809
2004,4,2,1732
2004,4,2,1720
2004,4,2,1834
2004,4,7,430
2004,4,3,942
2004,3,2,1732
2004,4,3,1044
2004,4,5,1115
2004,4,5,1309
2004,4,7,1543
2004,4,3,2145
2004,4,2,1135
2004,4,6,1551
2004,4,2,1220
2004,4,4,1706
2004,4,4,1540
2004,4,4,1715
2004,4,6,1845
2004,4,3,1848
2004,4,4,2239
2004,3,3,1012
2004,4,3,2046
2004,4,5,2319
2004,4,6,1524
2004,4,2,1439
2004,4,6,1804
2004,4,7,1352
2004,4,7,1254
2004,4,5,1221
2004,4,7,1245
2004,4,1,1500
2004,4,1,1535
2004,4,6,1541
2004,4,7,1600
2004,4,7,1309
2004,4,3,1358
2004,4,1,1220
2004,4,2,900
2004,4,7,2205
2004,4,1,2039
2004,4,4,2134
2004,4,6,1532
2004,4,7,1638
2004,4,2,1324
2004,4,1,1332
2004,4,6,2303
2004,4,3,903
2004,4,3,1500
2004,4,7,1618
2004,4,3,2104
2004,4,4,1145
2004,4,3,1529
2004,4,6,1046
2004,4,1,237
2004,4,5,1605
2004,4,5,621
2004,4,5,1256
2004,4,2,1200
2004,4,6,857
2004,4,4,1138
2004,4,7,925
2004,4,3,1545
2004,4,6,1441
2004,4,6,1526
2004,4,7,1741
2004,4,1,724
2004,4,1,1143
2004,4,2,1440
2004,4,7,1405
2004,4,7,135
2004,4,4,1815
2004,4,5,2032
2004,4,2,1604
2004,4,4,2110
2004,4,5,1406
2004,4,2,1451
2004,4,3,1402
2004,4,6,2045
2004,4,3,2328
2004,4,2,1105
2004,4,6,904
2004,4,4,822
2004,4,3,1715
2004,4,4,1802
2004,4,4,1228
2004,4,5,1030
2004,4,5,925
2004,4,5,1749
2004,4,5,1903
2004,4,4,1807
2004,4,4,846
2004,4,6,1227
2004,2,1,1320
2004,4,6,1750
2004,5,7,210
2004,4,4,1730
2004,2,1,1505
2004,2,4,845
2004,2,6,757
2004,2,7,1926
2004,2,1,1850
2004,2,3,1752
2004,3,6,1720
2004,4,6,2110
2004,4,6,1810
2004,4,5,1816
2004,5,7,206
2004,2,5,1605
2004,2,2,510
2004,1,7,2245
2004,1,6,1609
2004,1,3,1711
2004,2,3,2150
2004,2,3,1311
2004,1,4,1254
2004,1,6,1540
2004,2,7,1623
2004,1,3,1836
2004,1,1,843
2004,2,6,1225
2004,3,3,1344
2004,1,2,1358
2004,2,4,2000
2004,1,3,1527
2004,4,4,1343
2004,4,6,1539
2004,1,5,814
2004,1,2,744
2004,1,4,922
2004,3,7,1225
2004,3,2,2116
2004,2,7,15
2004,1,3,1200
2004,1,5,2155
2004,1,6,713
2004,1,6,2310
2004,1,3,1111
2004,2,1,1621
2004,1,4,758
2004,1,5,1801
2004,1,6,1009
2004,1,6,2327
2004,1,4,952
2004,1,3,1610
2004,1,6,113
2004,3,5,1005
2004,1,6,1135
2004,1,3,1730
2004,1,7,1306
2004,1,5,417
2004,1,5,35
2004,2,6,1125
2004,1,4,1550
2004,3,6,2130
2004,3,3,2110
2004,4,5,1606
2004,2,5,1651
2004,1,2,720
2004,1,7,1919
2004,1,6,2155
2004,1,7,1417
2004,2,7,1344
2004,1,7,1515
2004,1,4,1512
2004,5,2,1443
2004,5,2,1500
2004,4,6,1703
2004,1,7,1515
2004,2,1,1836
2004,1,7,25
2004,2,7,550
2004,2,2,1534
2004,1,3,1635
2004,1,6,1233
2004,4,4,1634
2004,5,3,734
2004,1,7,43
2004,3,6,1638
2004,1,1,300
2004,1,1,621
2004,2,7,35
2004,1,5,1816
2004,1,6,1550
2004,1,6,1402
2004,3,7,1306
2004,3,3,1446
2004,3,7,2237
2004,3,6,2340
2004,2,3,640
2004,5,2,920
2004,2,2,7
2004,2,5,1400
2004,2,5,737
2004,1,2,1255
2004,1,7,1653
2004,1,5,2349
2004,1,2,1043
2004,1,4,2319
2004,2,1,2242
2004,2,6,1549
2004,2,4,2155
2004,2,4,2155
2004,2,7,1742
2004,5,3,1125
2004,2,4,1828
2004,2,4,2104
2004,1,5,1247
2004,2,1,1330
2004,1,3,1443
2004,2,7,1736
2004,3,6,1950
2004,3,7,15
2004,5,3,1205
2004,1,7,118
2004,1,5,920
2004,1,2,1434
2004,1,4,1115
2004,3,7,1949
2004,1,3,1213
2004,2,2,1647
2004,1,6,1125
2004,1,7,1450
2004,1,4,1633
2004,5,3,1706
2004,3,2,1522
2004,2,3,614
2004,3,7,1615
2004,5,3,2023
2004,1,5,215
2004,1,1,1735
2004,5,1,1229
2004,5,3,1902
2004,5,4,920
2004,5,4,920
2004,4,1,1027
2004,5,7,1800
2004,5,4,1548
2004,5,4,1920
2004,5,4,2308
2004,5,5,955
2004,5,3,2139
2004,5,5,1515
2004,5,5,1816
2004,5,7,53
2004,5,4,222
2004,5,5,1727
2004,4,5,837
2004,5,2,1406
2004,5,5,1159
2004,5,3,1053
2004,5,4,658
2004,5,6,1055
2004,5,5,940
2004,5,6,1255
2004,4,6,1955
2004,5,6,1610
2004,5,6,1652
2004,5,6,2320
2004,3,5,1747
2004,3,2,1705
2004,3,3,1517
2004,1,3,1004
2004,3,4,1640
2004,3,7,1338
2004,3,5,247
2004,3,3,1045
2004,1,4,2156
2004,1,5,1039
2004,3,2,1300
2004,5,7,1545
2004,4,2,1201
2004,3,3,1848
2004,5,7,344
2004,5,7,1400
2004,5,1,1108
2004,5,1,1134
2004,5,1,1113
2004,5,1,1853
2004,5,1,1911
2004,5,2,130
2004,5,2,37
2004,5,7,1130
2004,5,2,2
2004,5,2,1605
2004,5,2,1700
2004,4,4,2306
2004,4,5,500
2004,4,5,1511
2004,4,6,2205
2004,5,7,530
2004,5,2,2307
2004,5,2,1734
2004,5,3,1555
2004,4,3,1942
2004,5,1,1624
2004,4,6,2256
2004,4,6,1611
2004,3,3,717
2004,3,4,2010
2004,4,2,1920
2004,4,3,1430
2004,3,7,1537
2004,3,2,2034
2004,5,3,1619
2004,4,5,1701
2004,4,2,1542
2004,4,3,2006
2004,4,7,1708
2004,5,3,1525
2004,5,6,939
2004,5,2,1055
2004,5,3,820
2004,5,6,1507
2004,5,4,1730
2004,5,6,1034
2004,5,5,925
2004,5,1,1150
2004,5,1,300
2004,5,3,637
2004,5,1,1336
2004,5,5,1053
2004,5,6,1035
2004,5,5,1919
2004,5,5,1437
2004,5,5,1830
2004,3,4,1635
2004,4,6,2130
2004,1,3,1615
2004,1,3,801
2004,5,6,1809
2004,4,4,2242
2004,4,4,1230
2004,4,4,1310
2004,2,5,1940
2004,4,6,1203
2004,2,4,1345
2004,2,5,1258
2004,1,2,1210
2004,2,5,1050
2004,5,6,1935
2004,2,1,1759
2004,5,6,204
2004,5,3,1245
2004,5,7,1535
2004,5,6,1452
2004,5,4,2124
2004,5,1,136
2004,5,1,740
2004,5,4,914
2004,5,7,1927
2004,5,6,1717
2004,5,4,2217
2004,5,3,2133
2004,5,7,239
2004,5,2,1724
2004,5,2,701
2004,5,4,1819
2004,4,2,2310
2004,4,5,1635
2004,4,4,722
2004,4,3,1304
2004,4,5,2256
2004,4,3,1756
2004,5,2,1811
2004,5,2,1346
2004,5,3,753
2004,5,2,1239
2004,5,1,1420
2004,5,3,836
2004,5,2,955
2004,4,5,1605
2004,4,3,2013
2004,1,4,1923
2004,5,1,1829
2004,5,3,657
2004,5,7,1932
2004,5,4,1000
2004,5,4,1307
2004,5,4,1534
2004,5,1,1512
2004,5,3,1533
2004,4,6,1123
2004,5,3,1759
2004,5,5,2130
2004,5,4,1644
2004,5,3,2020
2004,4,7,300
2004,4,6,2244
2004,4,3,2256
2004,1,3,1635
2004,5,1,540
2004,5,3,1255
2004,5,4,1655
2004,2,6,1123
2004,4,5,147
2004,5,1,1835
2004,3,2,608
2004,3,6,503
2004,4,6,1216
2004,5,6,1325
2004,3,6,10
2004,5,7,1420
2004,5,6,1730
2004,2,4,1450
2004,3,5,618
2004,3,2,1610
2004,2,4,915
2004,4,5,1913
2004,4,3,1710
2004,4,3,1150
2004,5,4,1444
2004,2,4,850
2004,1,5,855
2004,5,4,2105
2004,5,6,2018
2004,5,6,2128
2004,5,6,1458
2004,5,6,2058
2004,5,2,255
2004,5,6,1329
2004,5,3,1141
2004,5,6,1545
2004,5,7,2116
2004,5,1,1300
2004,5,5,2058
2004,5,2,709
2004,5,2,829
2004,5,5,320
2004,4,7,2046
2004,5,5,925
2004,5,6,1805
2004,5,3,1645
2004,4,2,817
2004,5,6,2303
2004,5,2,1550
2004,5,1,1950
2004,5,1,2323
2004,5,4,252
2004,5,2,737
2004,4,5,2240
2004,5,3,956
2004,5,2,1235
2004,5,3,1543
2004,5,3,1438
2004,5,3,1753
2004,5,2,1524
2004,5,3,1532
2004,5,7,1157
2004,5,3,2102
2004,5,4,2017
2004,5,2,1449
2004,5,3,654
2004,5,2,2206
2004,5,4,1011
2004,5,4,1239
2004,4,6,1245
2004,5,4,1846
2004,5,1,2320
2004,5,6,2312
2004,5,2,1301
2004,5,5,1244
2004,5,5,1520
2004,5,2,1540
2004,5,5,1651
2004,5,3,2338
2004,5,2,1244
2004,5,4,728
2004,5,5,1307
2004,5,6,850
2004,5,5,1127
2004,5,5,1328
2004,5,5,2212
2004,5,2,1549
2004,5,6,1711
2004,5,6,1657
2004,4,4,150
2004,1,3,2338
2004,2,5,517
2004,2,3,551
2004,2,1,1636
2004,1,6,712
2004,3,3,1529
2004,5,5,2208
2004,5,6,1337
2004,5,7,1445
2004,5,7,50
2004,5,7,103
2004,5,7,2026
2004,5,7,1347
2004,5,1,1836
2004,5,1,1919
2004,5,7,2150
2004,5,5,33
2004,5,7,2306
2004,5,7,21
2004,5,2,1500
2004,6,3,828
2004,5,2,1158
2004,6,3,645
2004,5,7,1611
2004,6,3,830
2004,5,4,1651
2004,6,3,1652
2004,6,3,1846
2004,6,4,56
2004,6,3,827
2004,5,2,228
2004,6,5,350
2004,6,4,2330
2004,6,4,2208
2004,6,3,1420
2004,5,2,1334
2004,6,4,2145
2004,6,5,1532
2004,5,4,1920
2004,5,6,949
2004,6,6,835
2004,6,5,1232
2004,6,6,1515
2004,6,6,1855
2004,6,6,1607
2004,6,4,2008
2004,6,7,200
2004,6,7,941
2004,6,5,1810
2004,6,7,1330
2004,6,7,1130
2004,6,1,1247
2004,5,1,715
2004,6,7,1125
2004,6,1,1610
2004,6,1,1603
2004,6,1,128
2004,6,5,1742
2004,6,7,154
2004,6,5,236
2004,6,1,448
2004,5,2,1054
2004,6,2,1022
2004,6,2,1350
2004,6,7,1608
2004,6,2,1720
2004,6,2,1645
2004,5,6,1223
2004,6,2,1134
2004,5,2,1320
2004,6,4,1129
2004,6,2,1850
2004,6,2,857
2004,6,3,1210
2004,6,3,1533
2004,5,4,1643
2004,5,2,2044
2004,6,3,1315
2004,6,3,1849
2004,6,3,1627
2004,6,2,1730
2004,6,5,614
2004,6,3,1040
2004,6,3,1343
2004,6,4,831
2004,6,2,1622
2004,6,4,1603
2004,6,4,1500
2004,6,4,1649
2004,6,5,717
2004,6,4,619
2004,2,2,1316
2004,2,5,730
2004,4,4,1536
2004,6,4,741
2004,6,4,1002
2004,6,5,910
2004,6,5,1210
2004,6,5,1430
2004,6,5,1500
2004,4,1,458
2004,1,6,736
2004,1,4,1407
2004,2,2,1450
2004,4,5,1959
2004,3,1,46
2004,4,6,1000
2004,6,6,930
2004,6,3,1046
2004,6,6,815
2004,6,6,1042
2004,6,6,1614
2004,6,6,1639
2004,5,7,950
2004,5,7,930
2004,5,4,916
2004,5,4,2122
2004,5,6,2201
2004,5,6,1954
2004,3,1,1330
2004,4,6,1151
2004,4,7,1455
2004,5,3,1856
2004,6,6,1605
2004,6,6,839
2004,6,6,2230
2004,1,5,2230
2004,6,4,1454
2004,6,7,1033
2004,6,7,1248
2004,6,7,1530
2004,5,7,2100
2004,6,7,105
2004,6,1,1956
2004,6,7,230
2004,6,6,1311
2004,6,7,905
2004,6,4,1505
2004,6,2,1009
2004,6,1,1002
2004,6,3,1824
2004,4,6,2250
2004,2,4,1707
2004,1,3,750
2004,1,5,1354
2004,5,2,2013
2004,6,6,1709
2004,6,3,917
2004,6,7,400
2004,6,3,1441
2004,6,2,1450
2004,6,3,1646
2004,1,7,1846
2004,6,2,1838
2004,6,3,1553
2004,6,6,342
2004,6,1,1157
2004,6,1,808
2004,1,1,2024
2004,5,6,830
2004,2,6,455
2004,1,3,1110
2004,1,3,1102
2004,2,6,1627
2004,3,2,913
2004,6,5,638
2004,4,6,453
2004,3,2,1220
2004,1,6,2325
2004,6,1,1420
2004,2,6,1639
2004,3,2,1046
2004,5,2,1105
2004,6,4,1245
2004,6,2,401
2004,6,5,1620
2004,6,5,1355
2004,6,2,2110
2004,6,5,2251
2004,6,4,2326
2004,6,5,1600
2004,6,5,925
2004,6,5,1450
2004,6,6,1429
2004,6,5,2002
2004,6,6,1745
2004,6,6,1517
2004,6,5,1315
2004,6,3,146
2004,6,5,1506
2004,6,7,2119
2004,6,1,50
2004,6,7,1345
2004,6,3,2113
2004,6,1,712
2004,6,6,1735
2004,6,7,2050
2004,6,1,240
2004,6,1,1500
2004,6,1,1612
2004,6,1,1833
2004,6,1,1715
2004,6,1,1318
2004,6,2,1414
2004,6,1,1232
2004,6,7,2200
2004,6,4,1829
2004,6,1,1931
2004,5,2,1210
2004,6,2,1720
2004,5,5,1600
2004,5,4,1448
2004,5,2,133
2004,5,2,1625
2004,5,5,1806
2004,5,7,329
2004,5,3,1552
2004,6,6,1411
2004,5,5,1318
2004,5,4,925
2004,6,6,225
2004,6,3,837
2004,6,3,1522
2004,6,7,135
2004,6,4,2036
2004,6,2,1533
2004,6,4,1302
2004,6,3,1551
2004,6,3,1459
2004,6,3,1920
2004,6,4,1535
2004,3,1,1914
2004,6,3,1934
2004,6,4,1800
2004,6,4,1558
2004,3,5,700
2004,1,6,2200
2004,1,4,1531
2004,6,7,1450
2004,4,2,1616
2004,8,5,1056
2004,5,2,1902
2004,6,4,1736
2004,6,4,1530
2004,5,2,811
2004,6,4,1642
2004,5,5,1204
2004,5,1,1400
2004,1,1,1611
2004,4,5,950
2004,5,7,2124
2004,6,6,935
2004,6,6,935
2004,6,6,1001
2004,6,6,1206
2004,2,4,1209
2004,6,6,1648
2004,5,6,705
2004,4,5,1000
2004,5,1,1803
2004,2,3,2057
2004,6,6,1630
2004,6,4,22
2004,6,4,103
2004,6,7,1102
2004,6,6,2103
2004,6,1,302
2004,6,7,1605
2004,6,7,1350
2004,6,6,1735
2004,6,1,400
2004,6,2,750
2004,6,6,747
2004,6,1,937
2004,6,1,1107
2004,6,2,1145
2004,6,5,733
2004,6,7,2103
2004,5,6,1438
2004,6,7,1910
2004,6,7,2252
2004,6,2,1323
2004,6,3,609
2004,6,3,912
2004,6,2,1436
2004,6,2,2141
2004,3,1,1914
2004,6,3,1416
2004,6,4,315
2004,6,6,2156
2004,6,1,2100
2004,6,5,1415
2004,6,3,1356
2004,6,6,1503
2004,4,2,1758
2004,6,4,1643
2004,6,7,908
2004,6,4,144
2004,1,7,1104
2004,6,4,2120
2004,5,5,1630
2004,6,4,2052
2004,6,4,1055
2004,6,3,2256
2004,6,4,2244
2004,4,5,530
2004,7,6,121
2004,6,4,2150
2004,6,4,1935
2004,7,5,1018
2004,6,6,1046
2004,6,4,1110
2004,7,6,1515
2004,7,6,1659
2004,7,6,223
2004,6,7,522
2004,7,6,1403
2004,7,7,735
2004,6,4,1820
2004,7,7,808
2004,7,7,950
2004,7,7,1130
2004,7,5,1749
2004,7,7,1608
2004,6,2,1608
2004,7,7,1835
2004,7,7,216
2004,6,7,909
2004,7,1,2337
2004,7,5,4
2004,7,2,227
2004,7,1,1923
2004,7,2,1554
2004,7,2,2019
2004,7,3,22
2004,7,3,848
2004,7,2,1645
2004,1,3,1111
2004,3,4,2113
2004,3,3,1006
2004,7,2,1630
2004,7,4,1300
2004,7,7,1803
2004,7,4,1422
2004,7,1,125
2004,6,3,23
2004,7,4,1515
2004,7,5,834
2004,7,6,905
2004,7,5,1148
2004,7,6,1339
2004,7,6,1406
2004,6,3,2233
2004,7,6,1645
2004,7,4,2200
2004,7,6,1240
2004,7,6,1120
2004,7,4,2052
2004,7,7,602
2004,7,1,1808
2004,7,1,135
2004,7,2,140
2004,7,3,2236
2004,2,3,1553
2004,2,1,2001
2004,1,2,2312
2004,7,6,1128
2004,7,6,1331
2004,2,6,1155
2004,2,3,1454
2004,2,3,748
2004,2,3,1225
2004,3,1,1930
2004,3,7,1456
2004,2,5,1249
2004,2,2,1000
2004,3,4,2034
2004,3,4,959
2004,4,5,1640
2004,6,4,2144
2004,5,7,350
2004,7,2,1633
2004,7,2,709
2004,7,1,1924
2004,7,7,1611
2004,7,3,1710
